İlçe,Metrekare (Net),Oda Sayısı,Bulunduğu Kat,Kat Sayısı,Balkon Durumu,Eşya Durumu,Kullanım Durumu,Sitede Olma Durumu,Kimden,Salon Sayısı,Bina Yaşı Sınıfı,Isınma Sınıfı,Fiyat (TL)
3,140.0,3.0,3,5,1,0,0,1,2,1.0,0,6,3449999.0
2,130.0,3.0,2,4,1,0,0,0,2,1.0,9,6,2800000.0
5,110.0,2.0,3,4,1,0,2,0,2,1.0,0,6,1298000.0
5,120.0,3.0,2,4,1,0,0,0,2,1.0,3,6,1460000.0
3,145.0,3.0,2,3,1,0,0,1,2,1.0,0,6,2995000.0
5,145.0,2.0,5,5,1,0,0,0,2,2.0,3,6,1579000.0
3,140.0,3.0,3,4,1,0,0,1,2,1.0,0,6,2699000.0
3,150.0,3.0,3,5,1,0,2,0,2,1.0,4,6,2799000.0
5,140.0,3.0,7,17,1,0,0,1,2,1.0,0,6,2299999.0
3,110.0,2.0,2,4,1,0,0,1,2,1.0,3,6,2549999.0
3,110.0,2.0,1,4,1,0,0,0,2,1.0,0,6,1774000.0
3,115.0,2.0,1,5,1,0,0,0,2,1.0,0,6,999999.0
5,80.0,1.0,3,15,1,0,0,1,2,1.0,4,6,1449000.0
3,105.0,2.0,2,3,1,1,0,1,2,1.0,0,6,2639000.0
8,80.0,2.0,4,10,1,0,0,0,2,1.0,0,3,7450000.0
5,110.0,2.0,1,5,1,0,0,0,1,1.0,4,6,849000.0
3,90.0,2.0,2,3,1,0,0,1,2,1.0,0,6,1690000.0
3,140.0,3.0,2,3,1,0,0,1,2,1.0,4,6,2999999.0
8,100.0,3.0,7,9,1,0,2,0,2,1.0,4,5,7795000.0
5,95.0,2.0,4,14,1,0,0,1,2,1.0,0,6,1399000.0
4,95.0,2.0,1,10,1,0,2,1,1,1.0,9,4,3400000.0
5,95.0,2.0,1,4,0,0,0,0,2,1.0,4,6,1125000.0
7,80.0,3.0,1,4,0,0,2,0,2,1.0,6,6,3200000.0
5,90.0,2.0,1,5,1,0,0,0,2,1.0,3,6,749000.0
12,90.0,2.0,1,5,1,0,2,1,2,1.0,7,4,6300000.0
3,135.0,3.0,2,4,1,0,0,1,2,1.0,0,6,3599999.0
5,115.0,2.0,2,15,1,0,0,1,1,1.0,0,5,1429999.0
3,115.0,2.0,2,3,1,0,0,1,2,1.0,0,6,1799000.0
3,110.0,2.0,1,5,1,0,0,0,2,1.0,0,6,719999.0
3,90.0,2.0,1,5,1,0,0,0,2,1.0,5,6,899000.0
5,90.0,2.0,1,6,0,0,0,0,2,1.0,5,6,595000.0
2,84.0,2.0,12,14,1,0,0,1,2,1.0,3,5,5495000.0
3,115.0,2.0,2,4,1,0,0,1,2,1.0,0,6,2599999.0
8,110.0,3.0,5,9,0,0,0,0,2,1.0,4,6,11295000.0
3,110.0,2.0,4,5,1,0,0,1,2,1.0,3,6,2589000.0
3,80.0,2.0,1,3,0,0,0,0,2,1.0,3,6,1379000.0
5,175.0,3.0,4,4,1,0,0,0,1,2.0,0,6,1699999.0
3,55.0,2.0,1,4,0,1,1,0,2,1.0,4,6,1650000.0
8,108.0,3.0,1,8,1,0,0,0,2,1.0,3,6,9950000.0
5,125.0,3.0,2,4,1,0,0,0,2,1.0,0,6,1373000.0
5,95.0,2.0,1,4,0,0,0,0,2,1.0,4,6,935000.0
3,130.0,3.0,3,5,1,0,0,1,2,1.0,0,6,2699999.0
5,85.0,1.5,1,5,1,0,0,0,2,1.0,1,6,799999.0
5,92.0,2.0,3,12,0,0,0,1,2,1.0,0,6,3400000.0
5,110.0,2.0,3,6,1,0,0,0,2,1.0,5,6,757000.0
11,80.0,2.0,1,4,1,0,2,0,2,1.0,5,6,3650000.0
3,105.0,2.0,1,5,1,0,0,0,2,1.0,0,6,999999.0
5,90.0,2.0,1,5,0,0,0,0,2,1.0,0,6,619900.0
5,138.0,3.0,2,6,1,0,0,0,1,1.0,5,6,2050000.0
5,103.0,3.0,1,15,1,0,1,1,2,1.0,5,6,2750000.0
3,95.0,2.0,1,5,0,0,0,0,2,1.0,0,6,1299999.0
3,72.0,1.0,8,15,1,0,0,1,2,1.0,0,5,899000.0
3,110.0,2.0,1,5,1,0,0,1,2,1.0,0,6,2235000.0
3,115.0,2.0,3,4,1,0,0,0,2,1.0,0,6,1699000.0
5,45.0,1.0,8,13,0,1,2,0,2,0.0,5,4,592000.0
5,135.0,3.0,1,6,1,0,0,0,2,1.0,3,6,828000.0
5,135.0,3.0,2,6,1,0,0,0,2,1.0,4,6,1394000.0
5,150.0,3.0,1,4,1,0,0,0,2,2.0,0,6,1129000.0
3,115.0,2.0,1,8,1,0,0,1,2,1.0,0,6,1999999.0
5,115.0,2.0,2,15,1,0,0,1,2,1.0,0,5,1429999.0
5,160.0,3.0,4,4,1,0,0,0,2,2.0,0,6,1199000.0
5,115.0,2.0,1,5,1,0,0,0,2,1.0,0,6,619999.0
3,110.0,2.0,4,12,1,0,0,0,2,1.0,0,6,2999999.0
5,160.0,2.0,1,4,1,0,0,0,2,2.0,0,6,799000.0
3,120.0,3.0,1,5,1,0,0,1,2,1.0,0,6,2999000.0
5,120.0,2.0,8,15,1,0,0,1,2,1.0,0,5,1499000.0
5,115.0,2.0,2,5,1,0,0,0,2,1.0,0,6,1399999.0
3,140.0,3.0,2,3,1,0,0,1,2,1.0,0,6,2995000.0
3,130.0,2.0,4,4,1,0,0,0,2,2.0,0,6,2989000.0
3,135.0,3.0,1,4,1,0,0,1,2,1.0,2,6,3150000.0
3,110.0,2.0,3,4,1,0,0,0,2,1.0,0,6,1999999.0
5,115.0,2.0,1,4,1,0,0,0,2,1.0,0,6,799000.0
5,150.0,3.0,1,5,1,0,0,0,2,2.0,0,6,890000.0
3,145.0,4.0,1,5,1,0,0,0,2,1.0,0,6,895000.0
3,105.0,2.0,5,6,1,0,0,0,2,1.0,0,0,2300000.0
8,95.0,3.0,13,14,1,1,1,0,1,1.0,0,5,6150000.0
3,70.0,1.0,1,3,1,1,0,1,2,1.0,0,6,2350000.0
3,110.0,2.0,2,5,1,0,0,0,2,1.0,4,6,769999.0
3,100.0,2.0,1,5,1,0,0,0,2,1.0,4,6,785000.0
3,150.0,3.0,2,3,1,0,0,1,2,1.0,0,6,2550000.0
3,220.0,3.0,3,4,1,0,0,1,2,2.0,0,6,3699000.0
3,100.0,2.0,1,4,1,0,0,0,2,1.0,0,6,2749000.0
3,80.0,2.0,1,5,0,0,0,1,2,1.0,0,6,2449999.0
3,55.0,1.0,16,16,0,0,0,1,2,1.0,4,5,949000.0
5,135.0,3.0,1,6,1,0,0,1,2,1.0,5,6,1444000.0
3,175.0,4.0,4,5,1,0,0,0,2,1.0,0,6,2699999.0
3,100.0,2.0,1,8,1,0,0,1,2,1.0,3,6,2290000.0
3,215.0,4.0,4,4,1,0,0,1,2,2.0,0,6,3550000.0
3,120.0,2.0,2,22,1,0,0,1,2,1.0,0,6,1349900.0
3,110.0,2.0,2,4,1,0,0,1,2,1.0,0,6,2100000.0
14,120.0,3.0,4,5,1,0,0,0,2,1.0,0,6,3150000.0
11,120.0,3.0,4,4,1,0,2,0,2,1.0,5,6,4800000.0
3,105.0,2.0,1,5,1,0,0,0,2,1.0,0,6,1299900.0
8,80.0,2.0,3,9,1,0,0,0,2,1.0,0,6,8000000.0
3,130.0,3.0,1,5,1,0,0,0,2,1.0,0,6,1699900.0
5,45.0,1.0,6,10,1,0,2,1,1,0.0,6,6,1250000.0
5,100.0,2.0,2,6,1,0,0,0,2,1.0,0,6,1739000.0
5,150.0,4.0,1,4,1,0,0,0,2,1.0,0,6,757000.0
8,265.0,4.0,8,8,1,0,0,0,2,2.0,0,6,27500000.0
13,220.0,4.0,1,2,1,0,0,1,2,1.0,0,3,12000000.0
5,100.0,2.0,1,6,0,0,0,0,2,1.0,4,6,699999.0
8,100.0,3.0,8,10,1,0,2,0,2,1.0,4,6,7795000.0
8,80.0,2.0,1,14,1,0,0,0,2,1.0,0,5,8300000.0
5,75.0,1.0,11,17,1,0,0,1,2,1.0,0,5,1059000.0
3,160.0,3.0,4,4,1,0,0,0,2,1.0,0,6,2990000.0
3,95.0,2.0,2,5,1,0,0,0,2,1.0,0,6,1599999.0
11,105.0,3.0,2,4,0,0,0,0,2,1.0,5,6,3300000.0
11,90.0,3.0,1,4,1,0,1,1,2,1.0,5,6,4175000.0
3,110.0,2.0,3,7,1,0,0,1,2,1.0,0,6,3100000.0
3,125.0,3.0,3,5,1,0,0,1,2,1.0,0,6,3150000.0
10,105.0,2.0,6,10,1,0,0,1,2,1.0,0,5,14650000.0
11,65.0,2.0,1,4,1,0,0,0,2,1.0,0,6,4800000.0
5,130.0,3.0,4,9,1,0,0,1,2,1.0,5,6,2350000.0
3,100.0,2.0,3,4,1,0,0,0,2,1.0,4,6,1109000.0
3,105.0,2.0,1,7,1,0,0,1,2,1.0,0,6,1199900.0
8,105.0,3.0,10,13,1,0,2,0,2,1.0,5,5,15000000.0
3,105.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1799000.0
5,135.0,3.0,3,6,1,0,0,0,2,1.0,1,6,1499000.0
8,73.0,2.0,3,7,1,0,0,0,2,1.0,5,6,7200000.0
5,105.0,2.0,7,15,1,0,0,1,2,1.0,0,5,1339999.0
3,135.0,3.0,2,3,1,0,0,1,2,1.0,0,6,3150000.0
3,110.0,2.0,3,5,1,0,0,0,2,1.0,0,6,1499000.0
3,150.0,3.0,3,4,1,0,0,0,1,1.0,4,6,4450000.0
3,240.0,5.0,3,3,1,0,0,1,2,2.0,0,6,3599999.0
5,100.0,2.0,1,4,1,0,0,0,2,1.0,3,6,699999.0
8,58.0,2.0,2,10,0,0,0,0,2,1.0,0,6,5150000.0
3,90.0,2.0,1,4,1,0,0,1,2,1.0,0,6,2099000.0
6,75.0,2.0,1,10,1,0,1,0,2,1.0,3,6,2800000.0
11,95.0,3.0,1,4,0,0,2,0,2,1.0,4,6,4500000.0
3,150.0,3.0,4,4,1,0,0,0,2,1.0,0,6,2699000.0
5,60.0,1.0,6,15,1,0,0,1,2,1.0,4,6,1799000.0
3,160.0,3.0,3,3,1,0,0,0,2,1.0,3,6,1348000.0
5,100.0,2.0,2,5,1,0,0,0,2,1.0,0,6,1700000.0
3,105.0,2.0,2,6,1,0,0,0,2,1.0,0,6,2994999.0
3,140.0,3.0,1,3,1,0,0,1,2,1.0,0,6,3299999.0
